Date,Amount,Expense_Type,Category,Description
26-09-2025,146,Expense,Water,Paid water bill
26-09-2025,15000,Income,Housing,Recived rent form tanent
26-09-2025,934,Expense,Transportation,Get fuel for the car
28-09-2025,1523,Income,Entertainment,Movie with friends
28-09-2025,1496,Income,Housing,Recived rent form tenent
05-02-2025,3535,Income,Debt Payments,Payment for EMI
08-08-2025,1839,Income,Travel,Payment for Flights
28-01-2023,1814,Expense,Miscellaneous,Payment for Gifts
08-01-2024,3407,Expense,Debt Payments,Payment for Credit Card
25-08-2023,4732,Income,Miscellaneous,Payment for Donations
25-12-2022,3047,Expense,Clothing,Payment for Accessories
16-02-2025,309,Income,Utilities,Payment for Phone
06-02-2023,1968,Expense,Debt Payments,Payment for EMI
06-11-2024,1836,Expense,Insurance,Payment for Home Insurance
07-09-2023,149,Income,Travel,Payment for Sightseeing
12-12-2024,3955,Expense,Entertainment,Payment for Streaming Services
19-10-2023,2392,Income,Savings & Investments,Payment for Stocks
11-05-2025,3283,Expense,Personal Care,Payment for Cosmetics
02-07-2023,3299,Income,Personal Care,Payment for Salon
01-01-2024,377,Expense,Savings & Investments,Payment for Mutual Funds
20-10-2022,1401,Income,Healthcare,Payment for Medicines
08-06-2023,2861,Expense,Transportation,Payment for Fuel
15-10-2024,2339,Expense,Housing,Payment for Property Tax
01-02-2025,1415,Income,Housing,Payment for Mortgage
16-01-2024,3212,Expense,Groceries,Payment for Meat
15-09-2025,3149,Income,Travel,Payment for Sightseeing
21-02-2024,4604,Expense,Miscellaneous,Payment for Unexpected Expenses
28-08-2024,3752,Income,Housing,Payment for Mortgage
31-05-2025,1458,Expense,Dining Out,Payment for Restaurants
06-04-2023,1560,Expense,Groceries,Payment for Vegetables
13-05-2025,269,Expense,Insurance,Payment for Home Insurance
15-08-2024,2218,Expense,Personal Care,Payment for Cosmetics
13-05-2025,3236,Expense,Utilities,Payment for Internet
13-04-2024,3289,Expense,Education,Payment for Tuition
07-01-2025,4580,Expense,Transportation,Payment for Public Transport
06-07-2024,1319,Expense,Savings & Investments,Payment for Mutual Funds
19-10-2022,4425,Income,Savings & Investments,Payment for Mutual Funds
16-01-2025,3867,Expense,Travel,Payment for Local Transport
14-03-2023,117,Expense,Insurance,Payment for Home Insurance
21-10-2023,1721,Expense,Travel,Payment for Sightseeing
21-05-2024,792,Expense,Savings & Investments,Payment for Mutual Funds
10-08-2023,2062,Income,Insurance,Payment for Home Insurance
12-10-2022,1755,Expense,Savings & Investments,Payment for Fixed Deposits
28-05-2023,1496,Income,Transportation,Payment for Fuel
13-11-2024,3119,Income,Utilities,Payment for Internet
15-04-2024,340,Income,Utilities,Payment for Electricity
14-03-2025,3729,Expense,Insurance,Payment for Home Insurance
29-12-2022,3960,Income,Education,Payment for Tuition
11-05-2025,4701,Income,Healthcare,Payment for Medicines
19-02-2024,402,Expense,Clothing,Payment for Shoes
